date,close,volume
11/21/2005,3.26,3669900
11/18/2005,3.14,2209800
11/17/2005,3.02,1493800
11/16/2005,2.99,887400
11/15/2005,2.96,899500
11/14/2005,2.98,674700
11/11/2005,2.97,2371800
11/10/2005,3.11,2123100
11/9/2005,3.27,1702100
11/8/2005,3.27,1646800
11/7/2005,3.27,1989300
11/4/2005,3.16,1691400
11/3/2005,3.24,2302600
11/2/2005,3.3,2740800
11/1/2005,3.26,3394100
10/31/2005,3.48,7639600
10/28/2005,3.69,15022800
10/27/2005,3.59,10460900
10/26/2005,3.26,2822500
10/25/2005,3.3,1824500
10/24/2005,3.35,860200
10/21/2005,3.3,1078700
10/20/2005,3.34,1326000
10/19/2005,3.26,724100
10/18/2005,3.22,540400
10/17/2005,3.18,497700
10/14/2005,3.2,524300
10/13/2005,3.33,287300
10/12/2005,3.37,635100
10/11/2005,3.35,383500
10/10/2005,3.3,331500
10/7/2005,3.36,0
10/6/2005,3.36,0
10/5/2005,3.36,0
10/4/2005,3.36,0
10/3/2005,3.36,0
9/30/2005,3.36,1139100
9/29/2005,3.35,1619400
9/28/2005,3.22,903100
9/27/2005,3.12,618900
9/26/2005,3.22,369900
9/23/2005,3.22,621000
9/22/2005,3.28,1359600
9/21/2005,3.41,1123500
9/20/2005,3.54,1151800
9/19/2005,3.62,1417300
9/16/2005,3.5,1041300
9/15/2005,3.55,1029400
9/14/2005,3.58,1463300
9/13/2005,3.58,1379500
9/12/2005,3.51,897200
9/9/2005,3.56,3101100
9/8/2005,3.51,1157400
9/7/2005,3.52,1470400
9/6/2005,3.39,2753700
9/5/2005,3.53,6331000
9/2/2005,3.37,3270200
9/1/2005,3.37,4773300
8/31/2005,3.11,1008700
8/30/2005,3.05,457900
8/29/2005,3.05,750500
8/26/2005,3.13,847500
8/25/2005,3.09,936900
8/24/2005,3.13,660400
8/23/2005,3.12,1391700
8/22/2005,3.22,1708900
8/19/2005,3.28,5049300
8/18/2005,3.08,3469000
8/17/2005,3.15,1835500
8/16/2005,3.07,1159100
8/15/2005,3.07,966500
8/12/2005,3,1778600
8/11/2005,3.1,1603400
8/10/2005,3.1,1593900
